Category,Size,Installs,Minimum Android,Rating Count,Rating
Arcade,22M,100+,4.4 and up,0,0
Entertainment,Varies with device,10+,Varies with device,,
Business,30M,100+,4.1 and up,0,0
Lifestyle,Varies with device,"1,000+",Varies with device,8,4
Business,52M,100+,5.0 and up,0,0
Social,7.5M,"100,000+",4.2 and up,469,4.4
Sports,343k,"10,000+",2.1 and up,82,4.1
Travel & Local,6.2M,50+,4.4 and up,5,5
Maps & Navigation,18M,"5,000,000+",4.1 and up,246,4.4
Books & Reference,16M,"10,000+",4.1 and up,132,4.5
Shopping,7.3M,10+,5.0 and up,0,0
Trivia,84M,"10,000+",4.1 and up,248,4.1
Productivity,4.9M,10+,5.0 and up,0,0
Sports,30M,"10,000+",7.1 and up,160,2.8
Photography,4.3M,"5,000+",2.3 and up,12,3.8
Business,1.2M,5+,4.1 and up,0,0
Business,54M,10+,4.1 and up,0,0
Education,13M,"10,000+",6.0 and up,0,0
Entertainment,5.9M,100+,4.0.3 and up,0,0
Shopping,4.4M,100+,4.1 and up,0,0
Photography,5.6M,"1,000+",4.4 and up,6,3.8
Travel & Local,7.7M,"50,000+",4.3 and up,395,4.4
Education,6.3M,"1,000+",4.1 and up,16,3.5
Travel & Local,40M,"1,000+",4.1 and up,14,3.7
Medical,4.8M,10+,4.1 and up,0,0
Business,12M,100+,6.0 and up,6,4
Shopping,21M,50+,5.0 and up,0,0
Food & Drink,5.4M,"1,000+",4.2 and up,0,0
Medical,Varies with device,100+,4.1 and up,0,0
Communication,6.5M,100+,4.1 and up,7,4.4
Business,"1,018k","1,000+",4.1 and up,7,3
Finance,3.8M,500+,4.4 and up,0,0
Music & Audio,34M,"1,000+",4.1 and up,40,3.9
Productivity,6.0M,"100,000+",4.1 and up,1476,4.1
Lifestyle,3.1M,"1,000+",5.0 and up,6,3.8
House & Home,7.5M,10+,4.4 and up,0,0
Productivity,11M,1+,8.0 and up,0,0
Communication,9.9M,50+,4.4 and up,0,0
Sports,4.1M,"10,000+",4.0 and up,23,3.1
Books & Reference,10M,"1,000+",2.3 and up,18,4
Health & Fitness,5.5M,"5,000+",4.1 and up,11,4.1
Maps & Navigation,16M,"100,000+",5.0 and up,852,2.1
Medical,4.6M,"1,000+",4.4 and up,7,3.9
Video Players & Editors,16M,"5,000+",4.2 and up,0,0
Shopping,4.8M,50+,5.0 and up,0,0
Health & Fitness,40M,100+,5.1 and up,10,4.6
Business,23M,"10,000+",6.0 and up,156,5
Personalization,1.2M,"10,000+",2.3.3 and up,115,4.2
Business,9.0M,50+,4.4 and up,0,0
Tools,3.8M,5+,4.1 and up,0,0
Business,15M,"1,000+",4.4 and up,5,3.4
Arcade,17M,"1,000+",4.1 and up,5,5
Music,34M,100+,4.4 and up,0,0
Simulation,63M,"10,000+",4.1 and up,346,4
News & Magazines,11M,500+,4.1 and up,11,4.3
Food & Drink,16M,100+,4.1 and up,0,0
Educational,19M,5+,4.2 and up,0,0
Casual,22M,10+,4.1 and up,7,4.9
Racing,36M,"100,000+",2.3 and up,1290,3.4
Shopping,3.4M,100+,2.3.3 and up,0,0
Dating,17M,100+,4.1 and up,0,0
Entertainment,3.9M,100+,4.1 and up,0,0
Education,12M,500+,4.1 and up,6,4.3
Lifestyle,2.4M,"10,000+",5.0 and up,14,4.2
Productivity,3.0M,10+,4.4 and up,0,0
Books & Reference,16M,10+,4.1 and up,0,0
Finance,2.7M,100+,4.1 and up,14,4.7
Auto & Vehicles,31M,"1,000+",5.1 and up,0,0
Tools,6.6M,"1,000+",4.4 and up,7,3.9
Tools,2.8M,10+,4.0.3 and up,0,0
Shopping,57M,"10,000+",5.0 and up,27,4.6
Tools,14M,10+,5.0 and up,0,0
Arcade,2.3M,10+,4.1 and up,0,0
Education,20M,5+,4.4 and up,0,0
Music & Audio,7.5M,50+,4.4 and up,0,0
Education,13M,100+,4.4 and up,9,4.8
Business,3.8M,100+,4.4 and up,0,0
Personalization,5.4M,100+,3.0 and up,0,0
Sports,86M,"50,000+",5.0 and up,641,3.1
Personalization,9.2M,"10,000+",4.4 and up,29,3.9
Music & Audio,Varies with device,"10,000+",Varies with device,388,2.6
Social,2.9M,500+,4.1 and up,15,2.9
Books & Reference,2.6M,100+,4.4 and up,0,0
Finance,9.2M,10+,4.1 and up,0,0
Business,3.8M,500+,4.1 and up,20,4.9
Business,7.3M,100+,4.4 and up,0,0
Education,142M,5+,5.1 and up,0,0
Lifestyle,21M,"5,000+",4.1 and up,67,2.2
Maps & Navigation,2.5M,"5,000+",5.1 and up,60,2
Tools,16M,"500,000+",4.4 and up,17130,4.5
Arcade,8.1M,"10,000+",2.3.3 and up,243,4.1
Personalization,12M,"10,000+",5.0 and up,65,3.9
Finance,2.8M,10+,5.0 and up,0,0
Finance,1.3M,1+,4.0.3 and up,0,0
Health & Fitness,152M,10+,6.0 and up,0,0
Lifestyle,3.7M,"1,000+",4.1 and up,20,4.5
Tools,6.4M,"1,000,000+",4.2 and up,2606,4
Role Playing,6.9M,50+,4.1 and up,0,0
Maps & Navigation,6.8M,"5,000+",4.1 and up,68,3.8
Photography,Varies with device,"1,000,000+",4.4 and up,5760,3.2
Communication,52M,100+,5.0 and up,0,0
Finance,3.5M,100+,5.0 and up,0,0
Music & Audio,5.4M,50+,4.1 and up,0,0
Business,3.9M,100+,4.4 and up,0,0
Personalization,9.7M,500+,5.0 and up,0,0
Casual,14M,10+,4.4 and up,8,5
Tools,9.1M,"1,000+",5.0 and up,7,4.4
Education,45M,"5,000+",4.4 and up,21,4.8
Finance,11M,"5,000+",4.4 and up,178,4.6
Tools,12M,100+,4.4 and up,0,0
Finance,21M,"1,000+",7.0 and up,19,4.3
Music & Audio,6.6M,"10,000+",4.1 and up,47,4.2
Books & Reference,7.1M,50+,4.0 and up,0,0
Food & Drink,9.6M,5+,4.1 and up,0,0
Arcade,44M,100+,2.3 and up,0,0
Lifestyle,35M,10+,4.1 and up,0,0
Action,29M,"50,000+",2.3 and up,731,4
Puzzle,4.3M,10+,4.4 and up,16,4.9
Music & Audio,4.9M,"1,000+",4.4 and up,0,0
Libraries & Demo,16M,100+,4.4 and up,0,0
Medical,3.6M,50+,4.4 and up,0,0
Food & Drink,11M,10+,4.0.3 and up,0,0
Lifestyle,18M,"50,000+",5.0 and up,67,4.3
Education,4.3M,10+,4.1 and up,0,0
Casual,12M,10+,4.1 and up,0,0
Personalization,21M,"5,000+",4.1 and up,53,4.5
Personalization,4.1M,500+,4.0.3 and up,10,4.7
Education,2.0M,50+,4.0 and up,5,5
Communication,6.5M,"10,000+",4.2 and up,0,0
Casual,5.6M,500+,3.0 and up,15,4.1
Education,14M,"10,000+",4.0 and up,34,4
Education,1.3M,10+,4.0 and up,0,0
Business,1.0M,10+,4.0 and up,0,0
Education,6.0M,100+,5.0 and up,0,0
Tools,886k,"10,000+",2.2 and up,468,3.5
Health & Fitness,27M,100+,5.0 and up,0,0
Books & Reference,9.4M,"1,000+",4.4 and up,0,0
Strategy,18M,50+,2.3.3 and up,0,0
Education,3.8M,100+,4.0.3 and up,0,0
Trivia,53M,"50,000+",4.0.3 and up,646,4.4
News & Magazines,24M,"1,000+",4.0.3 and up,24,3.5
Music & Audio,2.1M,"1,000+",6.0 and up,10,5
Puzzle,20M,"10,000+",4.0.3 and up,54,3.3
Adventure,14M,500+,4.1 and up,25,4.8
Health & Fitness,27M,10+,4.1 and up,0,0
Puzzle,26M,10+,5.0 and up,0,0
Weather,91M,"500,000+",4.1 and up,1232,4.4
Food & Drink,12M,50+,5.0 and up,0,0
Adventure,83M,"1,000+",4.4 and up,54,4.8
Personalization,10M,"5,000+",4.1 and up,38,4
Lifestyle,12M,"1,000+",4.0.3 and up,15,4.7
Lifestyle,2.8M,"10,000+",4.0.3 and up,64,4.3
Books & Reference,6.6M,100+,4.0.3 and up,7,4
Education,5.4M,10+,4.0.3 and up,0,0
Communication,1.6M,50+,4.1 and up,0,0
Business,3.3M,100+,4.2 and up,0,0
Maps & Navigation,4.0M,500+,4.0.3 and up,6,2.8
Business,26M,100+,5.0 and up,0,0
Video Players & Editors,Varies with device,"100,000+",Varies with device,1048,4.1
Education,34M,500+,4.4W and up,26,4.5
Music & Audio,6.0M,"5,000+",4.1 and up,41,4.4
Business,20M,100+,4.1 and up,0,0
Puzzle,30M,100+,4.0.3 and up,13,4.5
Sports,22M,100+,4.4 and up,21,5
Books & Reference,3.6M,"1,000+",4.1 and up,9,4.3
Productivity,27M,5+,5.0 and up,0,0
Entertainment,4.8M,500+,4.0 and up,0,0
Communication,2.5M,100+,4.4 and up,0,0
Business,3.3M,100+,4.0 and up,0,0
Food & Drink,25M,100+,4.4 and up,9,5
Books & Reference,61M,50+,5.0 and up,0,0
Tools,32M,"10,000+",5.0 and up,38,2.6
Tools,13M,100+,4.2 and up,0,0
News & Magazines,8.4M,"1,000+",4.1 and up,21,4.8
Simulation,36M,"10,000+",4.4W and up,118,4.4
Maps & Navigation,36M,100+,4.4 and up,0,0
Music & Audio,61M,"1,000+",4.4 and up,17,4.6
Lifestyle,5.4M,"1,000+",4.4 and up,9,4.3
Art & Design,16M,"50,000+",4.2 and up,434,4.4
Music & Audio,7.2M,500+,8.0 and up,5,4.2
Lifestyle,3.1M,"10,000+",4.1 and up,16,4.2
Books & Reference,Varies with device,"1,000+",2.3 and up,7,5
